Date,Close/Last,Volume,Open,High,Low,Rise/Fall
2023-12-29,409.52,42662120,411.28,411.64,407.58,0
2023-12-28,411.3,27029150,412.67,412.92,410.94,0
2023-12-27,411.5,31980480,410.95,411.7875,410.08,1
2023-12-26,410.88,22722550,409.25,411.56,409.15,1
2023-12-22,408.38,34314000,409.0,409.97,406.4787,0
2023-12-21,407.77,45568910,407.06,408.14,404.47,1
2023-12-20,403.08,54042440,408.35,410.4699,402.9,0
2023-12-19,409.16,35711860,407.54,409.28,407.345,1
2023-12-18,407.08,46609990,404.93,407.99,404.6,1
2023-12-15,405.34,62896650,404.18,406.5399,403.57,1
2023-12-14,403.39,55447810,404.98,406.3,400.34,0
2023-12-13,403.74,55408130,399.62,404.36,398.8399,1
2023-12-12,398.67,39221150,395.56,398.79,394.41,1
2023-12-11,395.52,41198020,391.74,395.79,391.53,1
2023-12-08,392.17,46687530,388.67,392.62,388.4801,1
2023-12-07,390.43,49593550,388.07,391.27,386.96,1
2023-12-06,385.05,41994070,390.27,390.37,384.7,0
2023-12-05,387.29,42932960,384.39,388.5,384.21,1
2023-12-04,386.32,51186940,386.09,386.595,382.66,1
2023-12-01,389.94,40490070,387.75,390.54,386.0726,1
2023-11-30,388.83,52834380,390.08,390.55,385.82,0
2023-11-29,389.81,38811750,392.69,394.14,389.46,0
2023-11-28,390.19,35491120,388.41,390.78,388.05,1
2023-11-27,389.17,34139660,389.01,391.1499,388.28,1
2023-11-24,389.51,15718830,389.65,390.25,388.5,0
2023-11-22,390.06,44178570,390.57,393.07,389.04,0
2023-11-21,388.47,43336990,389.01,389.23,386.7,0
2023-11-20,390.74,44536670,386.05,391.41,386.05,1
2023-11-17,386.04,46622750,385.21,387.07,384.29,1
2023-11-16,385.95,45343540,384.84,386.19,383.56,1
2023-11-15,385.62,54141390,387.25,387.75,384.235,0
2023-11-14,385.33,67792630,383.71,386.26,383.18,1
2023-11-13,377.21,40733510,376.79,378.28,375.24,1
2023-11-10,378.39,58368440,371.82,378.54,371.28,1
2023-11-09,370.07,53859420,373.64,374.8,369.57,0
2023-11-08,372.94,35663370,373.08,373.79,370.62,0
2023-11-07,372.7,50777400,370.27,373.58,369.045,1
2023-11-06,369.21,38848740,368.49,369.78,366.91,1
2023-11-03,367.71,53280460,364.75,369.02,364.52,1
2023-11-02,363.44,58162440,361.54,363.68,360.3,1
2023-11-01,356.96,58992670,351.72,357.5298,351.62,1
2023-10-31,350.87,47671910,349.23,351.25,346.62,1
2023-10-30,349.2,55298540,347.83,350.54,346.45,1
2023-10-27,345.31,63476710,346.43,348.84,344.08,0
2023-10-26,343.66,78621430,349.12,350.07,342.35,0
2023-10-25,350.34,71190540,356.7,356.88,349.75,0
2023-10-24,359.13,47082080,357.51,359.91,355.79,1
2023-10-23,355.67,60665190,353.26,359.26,351.1199,1
2023-10-20,354.6,72559720,359.46,360.04,354.37,0
2023-10-19,359.97,72274240,364.81,366.02,359.16,0
2023-10-18,363.37,54280490,365.67,367.91,362.02,0
2023-10-17,368.2,50999100,365.81,369.92,363.66,1
2023-10-16,369.41,44201060,366.62,370.48,366.47,1
